iter	Passed	Remaining
459	807	948
460	809	946
461	811	944
462	813	943
463	814	941
464	816	939
465	818	937
466	819	935
467	821	933
468	823	932
469	825	930
470	826	928
471	828	926
472	830	924
473	831	923
474	833	921
475	835	919
476	837	918
477	838	916
478	840	914
479	842	912
480	843	910
481	845	908
482	848	908
483	850	907
484	853	905
485	855	904
486	857	903
487	859	901
488	860	899
489	862	897
490	864	896
491	866	894
492	867	892
493	869	890
494	871	888
495	872	886
496	874	885
497	876	883
498	877	881
499	879	879
500	881	877
501	883	876
502	884	874
503	887	872
504	888	871
505	890	869
506	892	867
507	894	865
508	895	864
509	897	862
510	900	861
511	901	859
512	904	858
513	905	856
514	907	854
515	909	852
516	911	851
517	912	849
518	914	847
519	916	845
520	918	844
521	919	842
522	921	840
523	923	839
524	925	837
525	926	835
526	928	833
527	930	831
528	931	829
529	933	827
530	935	826
531	936	824
532	938	822
533	940	820
534	942	819
535	944	817
536	946	815
537	947	813
538	949	811
539	950	810
540	952	808
541	954	806
542	956	804
543	957	802
544	959	801
545	961	799
546	963	797
547	964	795
548	966	793
549	968	792
550	969	790
551	971	788
552	973	786
553	975	785
554	976	783
555	978	781
556	980	779
557	982	778
558	984	776
559	985	774
560	987	772
561	989	771
562	991	769
563	992	767
564	994	765
565	996	764
566	998	762
567	999	760
568	1001	758
569	1003	756
570	1004	754
571	1006	753
572	1008	751
573	1009	749
574	1011	747
575	1013	745
576	1014	744
577	1016	742
578	1018	740
579	1019	738
580	1021	736
581	1023	734
582	1024	733
583	1026	731
584	1028	729
585	1029	727
586	1031	725
587	1033	724
588	1035	722
589	1036	720
590	1038	718
591	1040	716
592	1041	714
593	1043	713
594	1044	711
595	1046	709
596	1048	707
597	1049	705
598	1051	704
599	1053	702
600	1056	701
601	1057	699
602	1059	697
603	1060	695
604	1062	693
605	1064	692
606	1066	690
607	1067	688
608	1069	686
609	1071	684
610	1072	683
611	1074	681
612	1076	679
613	1077	677
614	1079	675
615	1081	674
616	1082	672
617	1084	670
618	1086	668
619	1087	666
620	1089	665
621	1091	663
622	1093	661
623	1094	659
624	1096	657
625	1098	656
626	1099	654
627	1101	652
628	1103	650
629	1104	648
630	1107	647
631	1109	645
632	1111	644
633	1112	642
634	1114	640
635	1116	638
636	1117	637
637	1119	635
638	1121	633
639	1123	631
640	1125	630
641	1126	628
642	1128	626
643	1130	624
644	1131	622
645	1133	621
646	1135	619
647	1136	617
648	1138	615
649	1140	614
650	1142	612
651	1143	610
652	1145	608
653	1146	606
654	1148	604
655	1150	603
656	1152	601
657	1153	599
658	1155	597
659	1157	596
660	1158	594
661	1160	592
662	1162	590
663	1163	588
664	1165	587
665	1167	585
666	1168	583
667	1170	581
668	1172	579
669	1173	578
670	1175	576
671	1176	574
672	1178	572
673	1180	570
674	1182	569
675	1184	567
676	1185	565
677	1187	563
678	1189	562
679	1190	560
680	1192	558
681	1194	556
682	1195	555
683	1197	553
684	1199	551
685	1201	549
686	1202	547
687	1204	546
688	1206	544
689	1207	542
690	1209	540
691	1211	539
692	1213	537
693	1214	535
694	1216	533
695	1218	532
696	1220	530
697	1221	528
698	1223	526
699	1225	525
700	1226	523
701	1228	521
702	1230	519
703	1231	517
704	1233	516
705	1235	514
706	1237	512
707	1238	510
708	1240	509
709	1242	507
710	1243	505
711	1245	503
712	1247	502
713	1248	500
714	1250	498
