iter	Logloss
0	0.6877392638
1	0.6809451067
2	0.6751883402
3	0.6685267
4	0.6617391896
5	0.6542600877
6	0.6482068888
7	0.6425756486
8	0.6385080321
9	0.6332042967
10	0.6278943763
11	0.6229310585
12	0.61860407
13	0.6137316174
14	0.6102650331
15	0.6065959441
16	0.6019505502
17	0.5977186125
18	0.5941029207
19	0.5889599976
20	0.5850304213
21	0.5807725401
22	0.5765424547
23	0.5720172744
24	0.5676564364
25	0.5633290791
26	0.5590114721
27	0.5553837001
28	0.5525274529
29	0.549655184
30	0.5462257282
31	0.5426905956
32	0.5391949899
33	0.5356518902
34	0.5324489808
35	0.5287462335
36	0.5254321253
37	0.5230302532
38	0.5207571871
39	0.5190176523
40	0.5166811661
41	0.514587588
42	0.511968146
43	0.5095977717
44	0.5069934658
45	0.5038237437
46	0.5015000209
47	0.4990607245
48	0.4962872841
49	0.4940049325
50	0.4921312364
51	0.4887118946
52	0.486958629
53	0.4844941903
54	0.4829131399
55	0.4800763492
56	0.477985952
57	0.4761232146
58	0.4729680566
59	0.4708426432
60	0.4688463787
61	0.4672885211
62	0.4654484863
63	0.4633387432
64	0.4609829195
65	0.4593076202
66	0.4568742363
67	0.4554395446
68	0.4537291156
69	0.4521040163
70	0.4506215013
71	0.4487366052
72	0.4471408057
73	0.4456311711
74	0.4441088126
75	0.4425626287
76	0.4410298765
77	0.4397498732
78	0.4381708904
79	0.4365761374
80	0.4352135976
81	0.4344574702
82	0.4329676357
83	0.431285002
84	0.4299393295
85	0.4287030263
86	0.4278663733
87	0.4270294287
88	0.4256023051
89	0.4243777125
90	0.4234441331
91	0.4220740278
92	0.4205448011
93	0.4194881736
94	0.4184751072
95	0.4172545918
96	0.4159836102
97	0.4145658132
98	0.4133928866
99	0.4121085123
100	0.4110884414
101	0.4099925211
102	0.4089200139
103	0.4077851558
104	0.4067041553
105	0.4057060739
106	0.4049402793
107	0.4040650729
108	0.4029993221
109	0.4022229623
110	0.4016595337
111	0.4007892224
112	0.3999026058
113	0.3990860798
114	0.3978449975
115	0.3965824013
116	0.3954578472
117	0.3949401375
118	0.3940850628
119	0.3929713822
120	0.3922510971
121	0.391229324
122	0.3907981181
123	0.3899003922
124	0.3892124679
125	0.3881487345
126	0.3873789327
127	0.3865725893
128	0.3858470211
129	0.3845861808
130	0.3838650213
131	0.3832176871
132	0.3822134301
133	0.3816417293
134	0.3810757149
135	0.3804242562
136	0.3794081655
137	0.3787679278
138	0.3778070835
139	0.3770573778
140	0.3760115161
141	0.3752308269
142	0.3744694442
143	0.3740616932
144	0.3735688353
145	0.3731023395
146	0.3723844998
147	0.3719617381
148	0.3704780315
149	0.3697131694
150	0.3686702113
151	0.3675973807
152	0.3668467869
153	0.3660955936
154	0.3652024104
155	0.3646341016
156	0.363990362
157	0.3634780314
158	0.3627817764
159	0.3620080323
160	0.3614352243
161	0.3609635723
162	0.3604942697
163	0.3595934485
164	0.3589930442
165	0.3583362099
166	0.3574988242
167	0.3568052158
168	0.356122784
169	0.3555685221
170	0.3547546979
171	0.3536480877
172	0.352988604
173	0.3521479501
174	0.3514969009
175	0.3508313668
176	0.3500079142
177	0.3493033495
178	0.3484866941
179	0.3479929077
180	0.3472312554
181	0.3466435064
182	0.3461655857
183	0.3454873347
184	0.3447042088
185	0.3441902463
186	0.3429265498
187	0.3425036061
188	0.3411001339
189	0.340443406
190	0.33985701
191	0.3394443302
192	0.3388681391
193	0.3381816964
194	0.337698757
195	0.3372840065
196	0.3364975648
197	0.3358636503
198	0.3354243015
199	0.3347556861
200	0.3343295146
201	0.3337665506
202	0.3334141228
203	0.3327931661
204	0.3321450556
205	0.3313984112
206	0.3306577602
207	0.3300810552
208	0.3295951657
209	0.3290318449
210	0.3284490044
211	0.3279870939
212	0.3273229296
213	0.3265324344
214	0.3260930729
215	0.3257445993
216	0.3252064617
217	0.3248280738
218	0.3241291619
219	0.3238355317
220	0.3233766683
221	0.3228165415
222	0.3222689578
223	0.3217724215
224	0.321174231
225	0.3202433163
226	0.3195836974
227	0.3190017156
228	0.3183997113
229	0.3180353848
230	0.317735158
231	0.3172094664
232	0.3167222821
233	0.3164028098
234	0.3161131766
235	0.3155006513
236	0.3151767829
237	0.3144651611
238	0.3136390907
239	0.3129885349
240	0.3126211642
241	0.3121374145
242	0.3115049558
243	0.3111105387
244	0.3107011956
245	0.3103481985
246	0.3098173564
247	0.3091465028
248	0.3088026301
249	0.3081535234
250	0.307602198
251	0.3070552049
252	0.3065397633
253	0.3060849013
254	0.3056703685
255	0.3051122917
256	0.3043298239
257	0.3039046946
258	0.3036581706
259	0.3031195673
260	0.3026941176
261	0.3021126298
262	0.3015839818
263	0.3011957163
264	0.3004757123
265	0.3002586376
266	0.2995740582
267	0.2990892913
268	0.2983235957
269	0.2981169863
270	0.2974283917
271	0.2969304178
272	0.2965228875
273	0.2961389088
274	0.2957033747
275	0.2953920817
276	0.2949961013
277	0.2947815074
278	0.2944797397
279	0.2941335954
280	0.2935671076
281	0.2930321361
282	0.2924729282
283	0.2918707461
284	0.291314993
285	0.2908668093
286	0.2904621179
287	0.2899493767
288	0.2894762407
289	0.2891710593
290	0.2888771757
291	0.288534001
292	0.2880894368
293	0.2877558746
294	0.2873592576
295	0.2869464755
296	0.2864599641
297	0.2859714174
298	0.285649366
299	0.2850662547
300	0.2847019278
301	0.2842546801
302	0.2838368079
303	0.2834619517
304	0.2829085561
305	0.2825120381
306	0.281742511
307	0.2815375346
308	0.2809214196
309	0.2802692031
310	0.279738557
311	0.2791551199
312	0.2786563184
313	0.2783826214
314	0.278029522
315	0.2774783106
316	0.2769918441
317	0.2765175008
318	0.2762251163
319	0.2758637641
320	0.2756009832
321	0.2752985045
322	0.2747084808
323	0.2742122218
324	0.2736801213
325	0.2729140617
326	0.2725324748
327	0.2721714346
328	0.2718976309
329	0.2715556949
330	0.2713982774
331	0.2710111461
332	0.2708523243
333	0.2706971017
334	0.2703361795
335	0.2699675228
336	0.2694907825
337	0.2692205808
338	0.2687904487
339	0.268208491
340	0.2678233135
341	0.2675265343
342	0.2669735516
343	0.2662135858
344	0.2657940419
345	0.2651416386
346	0.2649145215
347	0.2646912093
348	0.2642741461
349	0.2639647258
350	0.2636019796
351	0.2632712061
352	0.2630581126
353	0.262740972
354	0.2622511817
355	0.2617735989
356	0.2609737075
357	0.260692746
358	0.2602459081
359	0.2597791918
360	0.2595093408
361	0.2591950003
362	0.2589240414
363	0.258404917
364	0.2578798381
365	0.2576646516
366	0.2573421356
367	0.2571080004
368	0.2567438416
369	0.256578959
370	0.2561923181
371	0.2558388084
372	0.2553739057
373	0.255084619
374	0.2547350593
375	0.254354635
376	0.253949032
377	0.2534408791
378	0.253226322
379	0.2529630812
380	0.2521732293
381	0.2518063899
382	0.2514737109
383	0.2509666107
384	0.2508381503
385	0.2504859598
386	0.2502313334
387	0.2499464547
388	0.2496599116
389	0.2493176332
390	0.2490294227
391	0.2486938972
392	0.2481228628
393	0.2477667605
394	0.2474463465
395	0.2469707003
396	0.246584897
397	0.2463772161
398	0.245879641
399	0.2456906942
400	0.2452623632
401	0.2448934198
402	0.2446460664
403	0.2440928161
404	0.2438361541
405	0.2434787639
406	0.2430810332
407	0.242838095
408	0.2424233191
409	0.2422247292
410	0.2419210172
411	0.2416194212
412	0.2414094985
413	0.2409533893
414	0.2407103721
415	0.2401037773
416	0.2398817144
417	0.2394415807
418	0.2389612749
419	0.2385947186
420	0.2383448036
421	0.2380625007
422	0.2377529279
423	0.2374946647
424	0.2372378339
425	0.236833739
426	0.2364066231
427	0.236144635
428	0.235912797
429	0.2354515869
430	0.2351280226
431	0.2345973966
432	0.2343740989
433	0.2340286773
434	0.2336414037
435	0.2333402821
436	0.2329371653
437	0.2322653438
438	0.2320413702
439	0.2313071003
440	0.230737986
441	0.230451233
442	0.2300494597
443	0.2298346238
444	0.2295180088
445	0.2294447724
446	0.2290611576
447	0.228825969
448	0.2286356283
449	0.2282909492
450	0.228009426
451	0.2276897477
452	0.2274442884
453	0.2270779868
454	0.2264342176
455	0.2260014577
456	0.2256994686
457	0.2253548824
458	0.2249323935
459	0.2244261044
460	0.2239975938
461	0.2231921663
462	0.2227625113
463	0.222472533
464	0.2221354125
465	0.2220627746
466	0.2216714801
467	0.2213453152
468	0.221116526
469	0.220903112
470	0.2206060787
471	0.2201673513
472	0.219867102
473	0.2196747469
474	0.2195082097
475	0.2193150005
476	0.2190614269
477	0.2187327652
478	0.2181419307
479	0.2178375752
480	0.2174277294
481	0.2170526858
482	0.216815194
483	0.2165482425
