,0
0,0.04
1,0.04
2,0.25
3,0.25
4,0.3
5,0.3
6,0.29
7,0.32
8,0.32
9,0.32
10,0.32
11,0.32
12,0.31
13,0.31
14,0.31
15,0.31
16,0.31
17,0.31
18,0.31
19,0.3
20,0.3
21,0.25
22,0.23
23,0.22
24,0.22
25,0.22
26,0.22
27,0.24
28,0.24
29,0.24
30,0.24
31,0.24
32,0.24
33,0.24
34,0.24
35,0.24
36,0.24
37,0.24
38,0.24
39,0.23
40,0.23
41,0.23
42,0.23
43,0.21
44,0.21
45,0.21
46,0.21
47,0.2
48,0.2
49,0.2
50,0.2
51,0.2
52,0.28
53,0.28
54,0.28
55,0.28
56,0.27
57,0.27
58,0.27
59,0.27
60,0.27
61,0.27
62,0.26
63,0.26
64,0.26
65,0.26
66,0.26
67,0.26
68,0.25
69,0.25
70,0.25
71,0.25
72,0.26
73,0.26
74,0.26
75,0.26
76,0.26
77,0.26
78,0.25
79,0.25
80,0.25
81,0.24
82,0.24
83,0.24
84,0.24
85,0.29
86,0.29
87,0.28
88,0.28
89,0.28
90,0.28
91,0.28
92,0.28
93,0.28
94,0.28
95,0.28
96,0.29
97,0.32
98,0.32
99,0.32
100,0.32
101,0.32
102,0.32
103,0.32
104,0.32
105,0.32
106,0.32
107,0.32
108,0.32
109,0.32
110,0.32
111,0.32
112,0.33
113,0.33
114,0.34
115,0.34
116,0.34
117,0.34
118,0.34
119,0.34
120,0.34
121,0.34
122,0.34
123,0.35
124,0.35
125,0.37
126,0.37
127,0.37
128,0.37
129,0.4
130,0.39
131,0.39
132,0.39
133,0.39
134,0.39
135,0.4
136,0.4
137,0.39
138,0.39
139,0.39
140,0.39
141,0.39
142,0.39
143,0.39
144,0.39
145,0.39
146,0.39
147,0.39
148,0.39
149,0.4
150,0.4
151,0.4
152,0.4
153,0.4
154,0.4
155,0.4
156,0.4
157,0.4
158,0.4
159,0.51
160,0.51
161,0.51
162,0.51
163,0.51
164,0.51
165,0.5
166,0.5
167,0.5
168,0.5
169,0.5
170,0.5
171,0.48
172,0.48
173,0.48
174,0.38
175,0.38
176,0.34
177,0.34
178,0.3
179,0.3
180,0.3
181,0.25
182,0.22
183,0.22
184,0.22
185,0.23
186,0.23
187,0.24
188,0.24
189,0.24
190,0.24
191,0.27
192,0.27
193,0.27
194,0.27
195,0.27
196,0.26
197,0.31
198,0.31
199,0.34
200,0.34
201,0.34
202,0.34
203,0.33
204,0.31
205,0.38
206,0.38
207,0.43
208,0.43
209,0.47
210,0.47
211,0.4
212,0.4
213,0.4
214,0.37
215,0.37
216,0.37
217,0.31
218,0.29
219,0.29
220,0.29
221,0.25
222,0.25
223,0.23
224,0.2
225,0.18
226,0.16
227,0.12
228,0.12
229,0.07
230,0.07
231,0.0
232,0.0
233,0.05
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.05
249,0.05
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.02
259,0.02
260,0.02
261,0.02
262,0.02
263,0.02
264,0.09
265,0.09
266,0.1
267,0.1
268,0.1
269,0.1
270,0.1
271,0.09
272,0.07
273,0.05
274,0.04
275,0.04
276,0.12
277,0.12
278,0.12
279,0.12
280,0.13
281,0.12
282,0.12
283,0.12
284,0.05
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.02
292,0.02
293,0.02
294,0.03
295,0.03
296,0.03
297,0.03
298,0.03
299,0.03
300,0.03
301,0.03
302,0.06
303,0.06
304,0.06
305,0.06
306,0.07
307,0.07
308,0.07
309,0.05
310,0.08
311,0.08
312,0.08
313,0.05
314,0.04
315,0.04
316,0.04
317,0.0
318,0.0
319,0.0
320,0.04
321,0.05
322,0.05
323,0.05
324,0.05
325,0.05
326,0.05
327,0.05
328,0.05
329,0.05
330,0.05
331,0.05
332,0.05
333,0.06
334,0.06
335,0.06
336,0.06
337,0.06
338,0.06
339,0.06
340,0.06
341,0.06
342,0.06
343,0.06
344,0.06
345,0.06
346,0.06
347,0.06
348,0.06
349,0.06
350,0.06
351,0.06
352,0.1
353,0.1
354,0.1
355,0.1
356,0.1
357,0.1
358,0.1
359,0.1
360,0.1
