,0
710,0.12
711,0.12
712,0.1
713,0.07
714,0.07
715,0.07
716,0.07
717,0.07
718,0.07
719,0.05
720,0.05
721,0.05
722,0.04
723,0.08
724,0.05
725,0.05
726,0.05
727,0.05
728,0.17
729,0.17
730,0.17
731,0.05
732,0.05
733,0.05
734,0.05
735,0.05
736,0.05
737,0.03
738,0.03
739,0.03
740,0.03
741,0.0
742,0.0
743,0.0
744,0.0
745,0.0
746,0.0
747,0.0
748,0.0
749,0.0
750,0.0
751,0.0
752,0.01
753,0.01
754,0.01
755,0.01
756,0.01
757,0.01
758,0.0
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.01
765,0.1
766,0.1
767,0.16
768,0.16
769,0.13
770,0.13
771,0.13
772,0.13
773,0.13
774,0.06
775,0.06
776,0.06
777,0.06
778,0.05
779,0.05
780,0.05
781,0.05
782,0.05
783,0.0
784,0.0
785,0.0
786,0.0
787,0.0
788,0.05
789,0.02
790,0.02
791,0.02
792,0.02
793,0.02
794,0.02
795,0.02
796,0.02
797,0.02
798,0.02
799,0.02
800,0.02
801,0.02
802,0.02
803,0.02
804,0.02
805,0.02
806,0.02
807,0.02
808,0.02
809,0.02
810,0.02
811,0.02
812,0.02
813,0.02
814,0.02
815,0.02
816,0.02
817,0.02
818,0.02
819,0.02
820,0.02
821,0.02
822,0.02
823,0.02
824,0.02
825,0.04
826,0.04
827,0.04
828,0.03
829,0.03
830,0.03
831,0.05
832,0.05
833,0.05
834,0.05
835,0.05
836,0.05
837,0.05
838,0.05
839,0.05
840,0.05
841,0.05
842,0.05
843,0.05
844,0.05
845,0.05
846,0.05
847,0.05
848,0.05
849,0.04
850,0.04
851,0.04
852,0.04
853,0.02
854,0.02
855,0.02
856,0.0
857,0.0
858,0.0
859,0.0
860,0.02
861,0.02
862,0.02
863,0.03
864,0.03
865,0.03
866,0.03
867,0.03
868,0.03
869,0.03
870,0.02
871,0.02
872,0.02
873,0.02
874,0.02
875,0.02
876,0.02
877,0.02
878,0.02
879,0.01
880,0.0
881,0.0
882,0.0
883,0.0
884,0.02
885,0.02
886,0.02
887,0.02
888,0.0
889,0.0
890,0.0
891,0.01
892,0.01
893,0.01
894,0.01
895,0.01
896,0.02
897,0.02
898,0.02
899,0.03
900,0.03
901,0.03
902,0.03
903,0.08
904,0.08
905,0.08
906,0.08
907,0.08
908,0.06
909,0.06
910,0.06
911,0.06
912,0.01
913,0.01
914,0.01
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.03
924,0.03
925,0.03
926,0.04
927,0.04
928,0.04
929,0.04
930,0.04
931,0.04
932,0.04
933,0.04
934,0.04
935,0.04
936,0.04
937,0.04
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.01
947,0.01
948,0.01
949,0.01
950,0.02
951,0.02
952,0.02
953,0.02
954,0.02
955,0.06
956,0.06
957,0.11
958,0.11
959,0.11
960,0.12
961,0.12
962,0.12
963,0.12
964,0.17
965,0.17
966,0.17
967,0.14
968,0.17
969,0.17
970,0.17
971,0.17
972,0.13
973,0.13
974,0.13
975,0.13
976,0.13
977,0.13
978,0.13
979,0.13
980,0.15
981,0.15
982,0.15
983,0.22
984,0.22
985,0.26
986,0.26
987,0.28
988,0.28
989,0.28
990,0.27
991,0.27
992,0.25
993,0.25
994,0.25
995,0.25
996,0.29
997,0.29
998,0.29
999,0.29
1000,0.29
1001,0.29
1002,0.25
1003,0.25
1004,0.25
1005,0.25
1006,0.29
1007,0.25
1008,0.25
1009,0.24
1010,0.24
1011,0.25
1012,0.28
1013,0.28
1014,0.31
1015,0.31
1016,0.31
1017,0.31
1018,0.37
1019,0.37
1020,0.35
1021,0.35
1022,0.35
1023,0.35
1024,0.36
1025,0.36
1026,0.36
1027,0.38
1028,0.38
1029,0.38
1030,0.38
1031,0.38
1032,0.37
1033,0.37
1034,0.37
1035,0.37
1036,0.36
1037,0.36
1038,0.36
1039,0.36
1040,0.36
1041,0.35
1042,0.34
1043,0.34
1044,0.34
1045,0.38
1046,0.38
1047,0.36
1048,0.36
1049,0.36
1050,0.35
1051,0.35
1052,0.35
1053,0.3
1054,0.3
1055,0.3
1056,0.3
1057,0.28
1058,0.28
1059,0.28
1060,0.28
1061,0.28
1062,0.28
1063,0.27
1064,0.27
1065,0.27
1066,0.27
1067,0.27
1068,0.28
1069,0.29
1070,0.29
1071,0.3
1072,0.3
1073,0.3
1074,0.26
1075,0.26
1076,0.26
1077,0.29
1078,0.29
1079,0.29
1080,0.29
1081,0.27
1082,0.27
1083,0.27
1084,0.27
1085,0.28
1086,0.28
1087,0.28
1088,0.28
1089,0.28
1090,0.28
1091,0.27
1092,0.27
1093,0.27
1094,0.32
1095,0.32
1096,0.32
1097,0.3
1098,0.3
1099,0.3
1100,0.28
1101,0.27
1102,0.27
1103,0.27
1104,0.27
1105,0.27
1106,0.27
1107,0.3
1108,0.3
1109,0.3
1110,0.3
1111,0.3
1112,0.3
1113,0.3
1114,0.3
1115,0.32
1116,0.32
1117,0.32
1118,0.32
1119,0.32
1120,0.32
1121,0.33
1122,0.33
1123,0.33
1124,0.34
1125,0.34
1126,0.34
1127,0.31
1128,0.31
1129,0.31
1130,0.31
1131,0.36
1132,0.36
1133,0.36
1134,0.36
1135,0.36
1136,0.37
1137,0.37
1138,0.37
1139,0.37
1140,0.37
1141,0.36
1142,0.36
1143,0.35
1144,0.35
1145,0.35
1146,0.35
1147,0.35
1148,0.38
1149,0.38
1150,0.38
1151,0.38
1152,0.38
1153,0.38
1154,0.32
1155,0.32
1156,0.31
1157,0.31
1158,0.3
1159,0.3
1160,0.3
1161,0.27
1162,0.24
1163,0.2
1164,0.2
1165,0.18
1166,0.16
1167,0.08
1168,0.08
1169,0.06
1170,0.06
1171,0.06
1172,0.06
1173,0.06
1174,0.06
1175,0.03
1176,0.03
1177,0.03
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,0.0
1199,0.0
1200,0.0
1201,0.0
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,0.0
1207,0.0
1208,0.0
1209,0.0
1210,0.0
1211,0.0
1212,0.0
1213,0.2
1214,0.2
1215,0.2
1216,0.2
1217,0.18
1218,0.18
1219,0.09
1220,0.09
1221,0.09
1222,0.06
1223,0.06
1224,0.06
1225,0.06
1226,0.06
1227,0.06
1228,0.06
1229,0.0
1230,0.0
1231,0.03
1232,0.03
1233,0.03
1234,0.03
1235,0.01
1236,0.01
1237,0.01
1238,0.01
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,0.01
1248,0.01
1249,0.03
1250,0.03
1251,0.03
1252,0.03
1253,0.03
1254,0.03
1255,0.01
1256,0.04
1257,0.07
1258,0.1
1259,0.1
1260,0.1
1261,0.1
1262,0.11
1263,0.11
1264,0.11
1265,0.11
1266,0.11
1267,0.1
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.07
1279,0.07
1280,0.07
1281,0.07
1282,0.07
1283,0.07
1284,0.05
1285,0.05
1286,0.05
1287,0.07
1288,0.03
1289,0.03
1290,0.04
1291,0.04
1292,0.04
1293,0.04
1294,0.04
1295,0.09
1296,0.09
1297,0.09
1298,0.09
1299,0.09
1300,0.09
1301,0.08
1302,0.08
1303,0.08
1304,0.08
1305,0.08
1306,0.08
1307,0.08
1308,0.08
1309,0.08
1310,0.07
1311,0.07
1312,0.07
1313,0.07
1314,0.07
1315,0.07
1316,0.07
1317,0.07
1318,0.08
1319,0.08
1320,0.08
1321,0.08
1322,0.08
1323,0.08
1324,0.08
1325,0.08
1326,0.08
1327,0.08
1328,0.08
1329,0.08
1330,0.08
1331,0.17
1332,0.17
1333,0.17
1334,0.17
1335,0.17
1336,0.17
1337,0.17
1338,0.17
1339,0.17
1340,0.17
1341,0.16
1342,0.15
1343,0.15
1344,0.15
1345,0.15
1346,0.15
1347,0.15
1348,0.15
1349,0.12
1350,0.12
1351,0.12
1352,0.12
1353,0.12
1354,0.14
1355,0.14
1356,0.14
1357,0.14
1358,0.14
1359,0.14
1360,0.14
1361,0.14
1362,0.14
1363,0.18
1364,0.18
1365,0.17
1366,0.17
1367,0.17
1368,0.17
1369,0.17
1370,0.17
1371,0.17
1372,0.17
1373,0.17
1374,0.17
1375,0.17
1376,0.17
1377,0.17
1378,0.17
1379,0.19
1380,0.19
1381,0.22
1382,0.22
1383,0.22
1384,0.22
1385,0.24
1386,0.24
1387,0.24
1388,0.24
1389,0.28
1390,0.28
1391,0.29
1392,0.29
1393,0.3
1394,0.3
1395,0.31
1396,0.31
1397,0.32
1398,0.32
1399,0.32
1400,0.32
1401,0.32
1402,0.32
1403,0.31
1404,0.32
1405,0.32
1406,0.32
1407,0.32
1408,0.32
1409,0.34
1410,0.34
1411,0.32
1412,0.32
1413,0.23
1414,0.2
1415,0.18
1416,0.15
1417,0.12
1418,0.1
1419,0.1
1420,0.08
1421,0.08
1422,0.08
1423,0.06
1424,0.06
1425,0.06
1426,0.06
1427,0.06
1428,0.06
1429,0.06
1430,0.06
1431,0.06
1432,0.02
1433,0.02
1434,0.02
1435,0.04
1436,0.04
1437,0.04
1438,0.04
1439,0.05
1440,0.05
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.0
1447,0.0
1448,0.0
1449,0.15
1450,0.15
1451,0.17
1452,0.17
1453,0.17
1454,0.14
1455,0.15
1456,0.15
1457,0.15
1458,0.15
1459,0.15
1460,0.15
1461,0.15
1462,0.12
1463,0.12
1464,0.09
1465,0.1
1466,0.1
1467,0.06
1468,0.06
1469,0.07
1470,0.07
1471,0.07
1472,0.07
1473,0.04
1474,0.04
1475,0.04
1476,0.04
1477,0.04
1478,0.04
1479,0.09
1480,0.09
1481,0.09
1482,0.09
1483,0.09
1484,0.07
1485,0.07
1486,0.07
1487,0.07
1488,0.04
1489,0.04
1490,0.04
1491,0.04
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,0.0
1497,0.0
1498,0.07
1499,0.09
1500,0.09
1501,0.09
1502,0.09
1503,0.1
1504,0.1
1505,0.1
1506,0.1
1507,0.1
1508,0.1
1509,0.1
1510,0.09
1511,0.09
1512,0.07
1513,0.06
1514,0.06
1515,0.06
1516,0.06
1517,0.06
1518,0.06
1519,0.06
1520,0.06
1521,0.14
1522,0.14
1523,0.14
1524,0.14
1525,0.17
1526,0.17
1527,0.17
1528,0.17
1529,0.17
1530,0.17
1531,0.17
1532,0.17
1533,0.18
1534,0.18
1535,0.18
1536,0.18
1537,0.18
1538,0.18
1539,0.18
1540,0.18
1541,0.18
1542,0.18
1543,0.18
1544,0.18
1545,0.18
1546,0.22
1547,0.22
1548,0.22
1549,0.22
1550,0.22
1551,0.22
1552,0.22
1553,0.22
1554,0.22
1555,0.22
1556,0.21
1557,0.21
1558,0.21
1559,0.21
1560,0.21
1561,0.21
1562,0.21
1563,0.21
1564,0.21
1565,0.21
1566,0.21
1567,0.21
1568,0.21
1569,0.21
1570,0.2
1571,0.2
1572,0.2
1573,0.2
1574,0.2
1575,0.2
1576,0.2
1577,0.2
1578,0.2
1579,0.28
1580,0.28
1581,0.28
1582,0.28
1583,0.28
1584,0.28
1585,0.28
1586,0.28
1587,0.29
1588,0.29
1589,0.29
1590,0.29
1591,0.33
1592,0.33
1593,0.33
1594,0.33
1595,0.33
1596,0.33
1597,0.33
1598,0.33
1599,0.33
1600,0.32
1601,0.32
1602,0.32
1603,0.32
1604,0.32
1605,0.32
1606,0.31
1607,0.31
1608,0.3
1609,0.3
1610,0.3
1611,0.3
1612,0.3
1613,0.3
1614,0.3
1615,0.3
1616,0.3
1617,0.3
1618,0.3
1619,0.3
1620,0.3
1621,0.3
1622,0.3
1623,0.3
1624,0.3
1625,0.31
1626,0.31
1627,0.31
1628,0.31
1629,0.31
1630,0.31
1631,0.31
1632,0.36
1633,0.36
1634,0.36
1635,0.41
1636,0.41
1637,0.41
1638,0.43
1639,0.43
1640,0.43
1641,0.43
1642,0.43
1643,0.43
1644,0.43
1645,0.43
1646,0.43
1647,0.43
1648,0.43
1649,0.43
1650,0.43
1651,0.43
1652,0.42
1653,0.41
1654,0.41
1655,0.44
1656,0.44
1657,0.48
1658,0.48
1659,0.5
1660,0.5
1661,0.5
1662,0.5
1663,0.5
1664,0.5
1665,0.5
1666,0.48
1667,0.48
1668,0.48
1669,0.48
1670,0.57
1671,0.57
1672,0.57
1673,0.57
1674,0.57
1675,0.55
1676,0.55
1677,0.55
1678,0.55
1679,0.55
1680,0.55
1681,0.54
1682,0.54
1683,0.54
1684,0.54
1685,0.53
1686,0.53
1687,0.53
1688,0.55
1689,0.55
1690,0.52
1691,0.52
1692,0.52
1693,0.51
1694,0.5
1695,0.5
1696,0.5
1697,0.5
1698,0.5
1699,0.5
1700,0.5
1701,0.49
1702,0.49
1703,0.49
1704,0.48
1705,0.53
1706,0.53
1707,0.51
1708,0.51
1709,0.51
1710,0.5
1711,0.49
1712,0.49
1713,0.49
1714,0.49
1715,0.49
1716,0.48
1717,0.48
1718,0.48
1719,0.48
1720,0.48
1721,0.48
1722,0.47
1723,0.47
1724,0.46
1725,0.46
1726,0.46
1727,0.45
1728,0.45
1729,0.45
1730,0.45
1731,0.37
1732,0.35
1733,0.32
1734,0.31
1735,0.31
1736,0.31
1737,0.31
1738,0.31
1739,0.31
1740,0.31
1741,0.35
1742,0.35
1743,0.35
1744,0.33
1745,0.33
1746,0.33
1747,0.33
1748,0.33
1749,0.33
1750,0.33
1751,0.33
1752,0.4
1753,0.4
1754,0.4
1755,0.4
1756,0.4
1757,0.4
1758,0.4
1759,0.4
1760,0.38
1761,0.38
1762,0.37
1763,0.37
1764,0.39
1765,0.39
1766,0.39
1767,0.39
1768,0.39
1769,0.39
1770,0.39
1771,0.39
1772,0.39
1773,0.39
1774,0.38
1775,0.38
1776,0.38
1777,0.4
1778,0.4
1779,0.4
1780,0.4
1781,0.4
1782,0.39
1783,0.39
1784,0.39
1785,0.39
1786,0.39
1787,0.39
1788,0.39
1789,0.39
1790,0.36
1791,0.36
1792,0.36
1793,0.36
1794,0.32
1795,0.32
1796,0.26
1797,0.26
1798,0.25
1799,0.25
1800,0.25
1801,0.23
1802,0.23
1803,0.23
1804,0.23
1805,0.23
1806,0.23
1807,0.27
1808,0.27
1809,0.27
1810,0.27
1811,0.27
1812,0.26
1813,0.26
1814,0.26
1815,0.25
1816,0.25
1817,0.21
1818,0.21
1819,0.17
1820,0.17
1821,0.16
1822,0.16
1823,0.11
1824,0.07
1825,0.0
1826,0.0
1827,0.01
1828,0.01
1829,0.01
1830,0.01
1831,0.01
1832,0.01
1833,0.01
1834,0.01
1835,0.01
1836,0.01
1837,0.01
1838,0.01
1839,0.08
1840,0.08
1841,0.08
1842,0.15
1843,0.15
1844,0.15
1845,0.15
1846,0.14
1847,0.14
1848,0.14
1849,0.14
1850,0.19
1851,0.19
1852,0.21
1853,0.21
1854,0.21
1855,0.21
1856,0.21
1857,0.21
1858,0.21
1859,0.21
1860,0.19
1861,0.19
1862,0.19
1863,0.19
1864,0.19
1865,0.19
1866,0.19
1867,0.19
1868,0.19
1869,0.19
1870,0.19
1871,0.19
1872,0.19
1873,0.18
1874,0.16
1875,0.16
1876,0.16
1877,0.14
1878,0.13
1879,0.14
1880,0.14
1881,0.14
1882,0.14
1883,0.14
1884,0.14
1885,0.13
1886,0.11
1887,0.09
1888,0.09
1889,0.08
1890,0.08
1891,0.08
1892,0.08
1893,0.12
1894,0.12
1895,0.06
1896,0.06
1897,0.06
1898,0.06
1899,0.06
1900,0.06
1901,0.05
1902,0.05
1903,0.05
1904,0.05
1905,0.05
1906,0.09
1907,0.1
1908,0.1
1909,0.1
1910,0.1
1911,0.1
1912,0.1
1913,0.1
1914,0.1
1915,0.1
1916,0.1
1917,0.1
1918,0.1
1919,0.1
1920,0.18
1921,0.18
1922,0.18
1923,0.18
1924,0.18
1925,0.18
1926,0.18
1927,0.18
1928,0.18
1929,0.18
1930,0.18
1931,0.18
1932,0.18
1933,0.18
1934,0.18
1935,0.18
1936,0.18
1937,0.17
1938,0.17
1939,0.17
1940,0.17
1941,0.16
1942,0.16
1943,0.16
1944,0.16
1945,0.16
1946,0.17
1947,0.17
1948,0.17
1949,0.17
1950,0.17
1951,0.17
1952,0.16
1953,0.16
1954,0.17
1955,0.17
1956,0.17
1957,0.17
1958,0.17
1959,0.17
1960,0.17
1961,0.17
1962,0.16
1963,0.17
1964,0.17
1965,0.17
1966,0.18
1967,0.22
1968,0.22
1969,0.41
1970,0.41
1971,0.45
1972,0.45
1973,0.45
1974,0.45
1975,0.45
1976,0.45
1977,0.45
1978,0.45
1979,0.45
1980,0.45
1981,0.41
1982,0.41
1983,0.41
1984,0.38
1985,0.38
1986,0.4
1987,0.4
1988,0.4
1989,0.42
1990,0.42
1991,0.42
1992,0.42
1993,0.45
1994,0.45
1995,0.45
1996,0.45
1997,0.45
1998,0.45
1999,0.45
2000,0.45
2001,0.45
2002,0.45
2003,0.45
2004,0.45
2005,0.41
2006,0.41
2007,0.41
2008,0.41
2009,0.41
2010,0.4
2011,0.38
2012,0.38
2013,0.38
2014,0.38
2015,0.38
2016,0.38
2017,0.38
2018,0.38
2019,0.36
2020,0.38
2021,0.38
2022,0.38
2023,0.38
2024,0.38
2025,0.38
2026,0.38
2027,0.38
2028,0.37
2029,0.37
2030,0.37
2031,0.35
2032,0.35
2033,0.35
2034,0.35
2035,0.35
2036,0.35
2037,0.35
2038,0.34
2039,0.34
2040,0.34
2041,0.33
2042,0.33
2043,0.33
2044,0.33
2045,0.33
2046,0.33
2047,0.33
2048,0.33
2049,0.33
2050,0.33
2051,0.35
2052,0.35
2053,0.35
2054,0.35
2055,0.35
2056,0.35
2057,0.35
2058,0.35
2059,0.34
2060,0.34
2061,0.34
2062,0.34
2063,0.34
2064,0.33
2065,0.31
2066,0.31
2067,0.31
2068,0.31
2069,0.31
2070,0.31
2071,0.31
2072,0.31
2073,0.3
2074,0.3
2075,0.3
2076,0.3
2077,0.3
2078,0.28
2079,0.27
2080,0.27
2081,0.26
2082,0.26
2083,0.26
2084,0.22
2085,0.22
2086,0.22
2087,0.22
2088,0.22
2089,0.22
2090,0.21
2091,0.21
2092,0.18
2093,0.18
2094,0.18
2095,0.17
2096,0.17
2097,0.17
2098,0.17
2099,0.17
2100,0.16
2101,0.15
2102,0.13
2103,0.08
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.04
2116,0.01
2117,0.01
2118,0.03
2119,0.03
2120,0.03
2121,0.03
2122,0.03
2123,0.02
2124,0.02
2125,0.02
2126,0.07
2127,0.07
2128,0.07
2129,0.07
2130,0.22
2131,0.22
2132,0.22
2133,0.22
2134,0.22
2135,0.22
2136,0.15
2137,0.15
2138,0.13
2139,0.13
2140,0.13
