,Snow Depth,target,Temp,Precipitation,Precip Amount,Luftfuktighet
89,0.28,0.28,-7.0,snowfall,0.0001,79.065248381965
90,0.28,0.28,-7.0,snowfall,0.0001,79.065248381965
91,0.28,0.28,-12.0,none,0.0,79.065248381965
92,0.28,0.28,-12.2,snowfall,0.0003,79.065248381965
93,0.28,0.28,-12.2,snowfall,0.0003,79.065248381965
94,0.28,0.28,-6.1,none,0.0,79.065248381965
95,0.28,0.28,-7.8,none,0.0,79.065248381965
96,0.28,0.29,-7.5,snowfall,0.0015,79.065248381965
97,0.29,0.32,-1.5,snöblandat regn,0.0034,79.065248381965
98,0.29,0.32,-1.5,snowfall,0.0034,79.065248381965
99,0.29,0.32,-1.5,snowfall,0.0034,79.065248381965
100,0.29,0.32,-1.5,snöblandat regn,0.0034,79.065248381965
101,0.32,0.32,-4.0,snowfall,0.0007,79.065248381965
102,0.32,0.32,-4.0,snowfall,0.0007,79.065248381965
103,0.32,0.32,-13.5,none,0.0,79.065248381965
104,0.32,0.32,-10.4,snowfall,0.0002,79.065248381965
105,0.32,0.32,-10.4,snowfall,0.0002,79.065248381965
106,0.32,0.32,-10.0,snowfall,0.0016,79.065248381965
107,0.32,0.32,-10.0,snowfall,0.0016,79.065248381965
108,0.32,0.32,-1.6,snowfall,0.0017,79.065248381965
109,0.32,0.32,-1.6,regn,0.0017,79.065248381965
110,0.32,0.32,-1.6,snowfall,0.0017,79.065248381965
111,0.32,0.32,-1.6,regn,0.0017,79.065248381965
112,0.32,0.33,-4.6,snowfall,0.0008,79.065248381965
113,0.32,0.33,-4.6,snowfall,0.0008,79.065248381965
114,0.33,0.34,-10.6,snowfall,0.0003,79.065248381965
115,0.33,0.34,-10.6,snowfall,0.0003,79.065248381965
116,0.34,0.34,-14.1,none,0.0,79.065248381965
117,0.34,0.34,-17.5,snowfall,0.0002,79.065248381965
118,0.34,0.34,-17.5,snowfall,0.0002,79.065248381965
119,0.34,0.34,-7.8,none,0.0,79.065248381965
120,0.34,0.34,-11.5,snowfall,0.0,79.065248381965
121,0.34,0.34,-11.5,snowfall,0.0,79.065248381965
122,0.34,0.34,-12.7,snowfall,0.0012,79.065248381965
123,0.34,0.35,-7.9,snowfall,0.0017,79.065248381965
124,0.34,0.35,-7.9,snowfall,0.0017,79.065248381965
125,0.35,0.37,-12.0,snowfall,0.0011,79.065248381965
126,0.35,0.37,-12.0,snowfall,0.0011,79.065248381965
127,0.37,0.37,-12.3,none,0.0,79.065248381965
128,0.37,0.37,-12.4,none,0.0,79.065248381965
129,0.37,0.4,-6.3,snowfall,0.0017,79.065248381965
130,0.4,0.39,-3.6,snowfall,0.0004,79.065248381965
131,0.4,0.39,-3.6,snowfall,0.0004,79.065248381965
132,0.39,0.39,-4.2,none,0.0,79.065248381965
133,0.39,0.39,-5.5,snowfall,0.0005,79.065248381965
134,0.39,0.39,-5.5,snowfall,0.0005,79.065248381965
135,0.39,0.4,-10.3,snowfall,0.0003,79.065248381965
136,0.39,0.4,-10.3,snowfall,0.0003,79.065248381965
137,0.4,0.39,-8.3,snowfall,0.0007,79.065248381965
138,0.4,0.39,-8.3,snowfall,0.0007,79.065248381965
139,0.39,0.39,-6.3,none,0.0,79.065248381965
140,0.39,0.39,-8.2,none,0.0,79.065248381965
141,0.39,0.39,-7.2,none,0.0002,79.065248381965
142,0.39,0.39,-1.6,snowfall,0.0014,79.065248381965
143,0.39,0.39,-1.6,regn,0.0014,79.065248381965
144,0.39,0.39,-1.6,regn,0.0014,79.065248381965
145,0.39,0.39,-5.8,snowfall,0.0012,79.065248381965
146,0.39,0.39,-5.8,snowfall,0.0012,79.065248381965
147,0.39,0.39,-5.6,snowfall,0.0017,79.065248381965
148,0.39,0.39,-5.6,snowfall,0.0017,79.065248381965
149,0.39,0.4,-1.9,snowfall,0.0028,79.065248381965
150,0.39,0.4,-1.9,snowfall,0.0028,79.065248381965
151,0.4,0.4,-1.4,snowfall,0.004200000000000001,79.065248381965
152,0.4,0.4,-1.4,snowfall,0.004200000000000001,79.065248381965
153,0.4,0.4,-1.4,regn,0.004200000000000001,79.065248381965
154,0.4,0.4,-0.8,regn,0.0021000000000000003,79.065248381965
155,0.4,0.4,-0.8,snowfall,0.0021000000000000003,79.065248381965
156,0.4,0.4,-0.8,regn,0.0021000000000000003,79.065248381965
157,0.4,0.4,-1.3,snowfall,0.001,79.065248381965
158,0.4,0.4,-1.3,snowfall,0.001,79.065248381965
159,0.4,0.51,-3.1,snowfall,0.008400000000000001,79.065248381965
160,0.4,0.51,-3.1,snowfall,0.008400000000000001,79.065248381965
161,0.51,0.51,-2.7,snowfall,0.0004,79.065248381965
162,0.51,0.51,-2.7,snowfall,0.0004,79.065248381965
163,0.51,0.51,-2.2,none,0.0,79.065248381965
164,0.51,0.51,-3.0,none,0.0,79.065248381965
165,0.51,0.5,-1.9,none,0.0,79.065248381965
166,0.5,0.5,-3.3,none,0.0,79.065248381965
167,0.5,0.5,-5.8,regn,0.0002,79.065248381965
168,0.5,0.5,-1.3,snowfall,0.0015,79.065248381965
169,0.5,0.5,-1.3,regn,0.0015,79.065248381965
170,0.5,0.5,-1.3,snowfall,0.0015,79.065248381965
171,0.5,0.48,-1.6,snowfall,0.0018000000000000002,79.065248381965
172,0.5,0.48,-1.6,regn,0.0018000000000000002,79.065248381965
173,0.5,0.48,-1.6,snowfall,0.0018000000000000002,79.065248381965
174,0.48,0.38,1.5,regn,0.0035,79.065248381965
175,0.48,0.38,1.5,regn,0.0035,79.065248381965
176,0.38,0.34,0.9,regn,0.0013000000000000002,79.065248381965
177,0.38,0.34,0.9,regn,0.0013000000000000002,79.065248381965
178,0.34,0.3,0.3,regn,0.0026000000000000003,79.065248381965
179,0.34,0.3,0.3,snöblandat regn,0.0026000000000000003,79.065248381965
180,0.34,0.3,0.3,snöblandat regn,0.0026000000000000003,79.065248381965
181,0.3,0.25,1.2,none,0.0,79.065248381965
182,0.25,0.22,-0.7,none,0.0,79.065248381965
183,0.22,0.22,-2.0,snowfall,0.01,79.065248381965
184,0.22,0.22,-2.0,snowfall,0.01,79.065248381965
185,0.22,0.23,-0.9,snowfall,0.0005,79.065248381965
186,0.22,0.23,-0.9,snowfall,0.0005,79.065248381965
187,0.23,0.24,-2.0,snowfall,0.0031000000000000003,79.065248381965
188,0.23,0.24,-2.0,snowfall,0.0031000000000000003,79.065248381965
189,0.24,0.24,-2.7,snowfall,0.0,79.065248381965
190,0.24,0.24,-1.5,snowfall,0.0011,79.065248381965
191,0.24,0.27,-3.3,snowfall,0.0027,79.065248381965
192,0.24,0.27,-3.3,snowfall,0.0027,79.065248381965
193,0.27,0.27,-2.1,snowfall,0.0018000000000000002,79.065248381965
194,0.27,0.27,-2.1,snowfall,0.0018000000000000002,79.065248381965
195,0.27,0.27,-4.1,none,0.0,79.065248381965
196,0.27,0.26,-3.7,none,0.0,79.065248381965
197,0.26,0.31,-1.2,snowfall,0.0083,79.065248381965
198,0.26,0.31,-1.2,snowfall,0.0083,79.065248381965
199,0.31,0.34,-1.1,snowfall,0.008400000000000001,79.065248381965
200,0.31,0.34,-1.1,regn,0.008400000000000001,79.065248381965
201,0.31,0.34,-1.1,regn,0.008400000000000001,79.065248381965
202,0.31,0.34,-1.1,snowfall,0.008400000000000001,79.065248381965
203,0.34,0.33,-3.7,snowfall,0.0,79.065248381965
204,0.33,0.31,-2.8,none,0.0,79.065248381965
205,0.31,0.38,-4.9,snowfall,0.0094,79.065248381965
206,0.31,0.38,-4.9,snowfall,0.0094,79.065248381965
207,0.38,0.43,-1.7,snowfall,0.0040999999999999995,79.065248381965
208,0.38,0.43,-1.7,snowfall,0.0040999999999999995,79.065248381965
209,0.43,0.47,-1.2,snowfall,0.0075,79.065248381965
210,0.43,0.47,-1.2,snowfall,0.0075,79.065248381965
211,0.47,0.4,1.5,regn,0.0025,79.065248381965
212,0.47,0.4,1.5,snowfall,0.0025,79.065248381965
